agency_id,rooms_page,pax_page
48032,59,11
52178,13,2
4872,212,55
664,49,10
11566,65,11
60971,14,7
44485,40,5
1987,18,2
58538,280,39
40716,44,41
48816,214,55
38047,67,8
15961,1007,824
7216,117,20
6427,19,7
53414,24,5
64715,94,31
15519,56,20
14613,20,1
28709,52,6
1369,118,11
17391,54,14
49096,4,2
59520,63,3
52082,5,3
46522,7,0
44896,57,14
10024,141,9
51521,52,2
38568,274,24
410,258,79
1623,140,3
60393,39,0
66831,55,43
1900,79,1
2133,153,53
40238,64,12
31886,105,15
65237,42,8
37177,12,3
39625,74,11
14510,17,0
47720,48,7
24439,26,9
524,315,34
34337,73,7
688,72,22
60807,2,0
41137,21,3
1877,10,0
925,145,22
59138,2,1
5675,102,40
53769,19,2
42293,94,18
6925,10,1
47575,199,67
331,69,2
46705,15,0
36730,58,7
22377,6,0
39976,97,66
1038,1,1
2934,64,4
7306,64,21
63472,3,1
40760,46,7
16099,119,78
38077,18,5
9963,124,67
12594,4,1
34118,226,49
440,91,10
42379,4,0
486,30,9
15576,21,2
66602,11,8
1895,63,9
38451,51,22
40388,31,0
54710,25,0
59112,17,3
62432,10,0
62100,82,12
39901,280,14
179,78,19
54953,344,72
40240,105,29
47546,6,1
44385,5,3
9614,77,17
30691,25,1
60849,1,0
4841,37,6
9886,109,13
38590,11,5
26952,46,4
46792,5,5
10090,9,2
62765,57,5
58552,15,2
44,119,29
17746,57,12
40300,17,2
40681,2,0
32346,4,3
27218,8,0
11106,20,4
21013,13,4
11193,1,1
55114,70,3
33086,195,72
43074,64,4
1756,45,7
34117,40,16
26530,47,37
24344,21,0
61537,21,7
17383,77,6
2506,20,5
53333,4,0
42013,7,1
33118,50,22
64180,35,3
36023,110,13
24857,226,20
16474,118,6
47362,120,20
58582,28,6
39707,221,32
26751,140,32
5547,13,2
15704,58,12
65362,19,3
2824,40,6
15792,6,0
52486,4,1
40889,69,52
6060,103,19
4242,58,2
41751,64,14
9721,58,6
39682,198,43
20682,44,2
65525,4,0
16693,16,5
5459,178,31
24626,40,14
5190,38,7
39906,14,5
47751,68,7
50318,25,3
19744,69,12
8074,47,8
67128,1,0
25157,47,5
27014,109,57
56866,11,3
43351,33,5
64082,36,0
59987,32,10
2788,113,25
54183,6,2
23580,21,8
31584,3,0
6469,184,71
710,56,19
53321,1,1
46702,4,0
1312,58,25
42659,3,0
48258,52,12
669,350,43
24483,38,11
44529,14,7
16002,50,15
31418,39,5
29844,102,32
37144,62,8
43115,4,0
55391,23,1
54217,16,4
36172,73,11
17400,52,36
57806,5,1
60400,3,0
44218,116,10
57939,51,7
26935,428,38
14970,103,12
49967,151,64
67028,17,3
4975,9,6
48062,31,0
43202,73,20
16805,9,3
65598,17,4
17484,17,1
23207,4,3
60251,134,0
55568,22,3
14550,16,1
20368,23,5
61756,52,34
