agency_id,agency_name,region,created_on,first_overall_sale,first_q_sale,last_q_sale,freq,mon,rec,days_active,rel_freq,new_agency,rec_log,rel_freq_log,mon_log,rec_score,freq_score,mon_score,RFM
3592,UNIQUE CHOICE,Middle East,2014-06-22,2014-06-29,2022-10-01,2022-12-28,59,64240.12,4,89,0.6629213483146067,0,1.3862943611198906,-0.41109892582642044,11.070383216613918,3,2,3,8
796,ALRAHALAH INTERNATIONAL TRAVEL (JED),Middle East,2012-01-24,2013-01-09,2022-10-01,2022-12-29,95,110563.94,3,90,1.0555555555555556,0,1.0986122886681098,0.05406722127027579,11.613349275124843,3,3,3,9
210, ITL LEISURE TOURISM AND TRAVEL CO.,Middle East,2011-06-12,2012-04-18,2022-10-01,2022-12-29,315,187964.91,3,90,3.5,0,1.0986122886681098,1.252762968495368,12.144010575454836,3,3,3,9
639,JAHRA CO OPERATIVE TRAVELS & TOURISM(KWI),Middle East,2011-12-10,2013-02-02,2022-10-01,2022-12-29,47,31239.45,3,90,0.5222222222222223,0,1.0986122886681098,-0.6496620686202064,10.349436998164839,3,2,3,8
1791,SATGURU TRAVEL & TOURISM LLC (DXB),Middle East,2013-05-18,2013-08-12,2022-10-01,2022-12-30,1285,1038060.58,2,91,14.12087912087912,0,0.6931471805599453,2.64765449081247,13.85286470324003,3,3,3,9
44485,THE EAGLE TRAVEL AND TOURS,Middle East,2021-05-26,2022-05-01,2022-10-01,2022-12-06,34,29611.91,26,67,0.5074626865671642,0,3.258096538021482,-0.6783320947748046,10.295931924249981,2,2,3,7
20917,SEPAND TOURISM INC,North America,2018-08-27,2018-09-09,2022-10-01,2022-12-26,48,38859.85,6,87,0.5517241379310345,0,1.791759469228055,-0.5947071077466928,10.567716862913688,3,2,3,8
37124,PLUTON TRAVEL,Southern Europe,2020-02-08,2020-07-09,2022-10-01,2022-12-29,96,89891.47,3,90,1.0666666666666667,0,1.0986122886681098,0.06453852113757116,11.406358332754456,3,3,3,9
27143,AVIADESK,"Eastern, Central Europe & CIS",2019-04-09,2022-08-05,2022-10-01,2022-12-30,44,47662.72,2,91,0.4835164835164835,0,0.6931471805599453,-0.7266698725985888,10.77190481994326,3,2,3,8
978,AL FARIS INTERNATIONAL COMPANY FOR TRAVEL AND TOURISM,Middle East,2012-05-16,2012-05-22,2022-10-01,2022-12-30,637,471476.21,2,91,7.0,0,0.6931471805599453,1.9459101490553132,13.063623923791187,3,3,3,9
16425,RAMASSIDE,Middle East,2018-02-11,2022-01-19,2022-10-01,2022-12-22,70,14375.59,10,83,0.8433734939759037,0,2.302585092994046,-0.17034536574723888,9.57328690830155,3,3,3,9
16776,SAFAR GLOBAL TRIPS,APAC,2018-03-05,2018-03-13,2022-10-01,2022-12-17,7,1264.52,15,78,0.08974358974358974,0,2.70805020110221,-2.4107986776342782,7.142447882513212,2,1,1,4
54631,SAMPA TURIZM VE SEYAHAT ACENTELIGI A.S.,Middle East,2022-02-10,2022-02-13,2022-10-01,2022-12-27,138,59247.47,5,88,1.5681818181818181,0,1.6094379124341003,0.44991687067899816,10.989478357663748,3,3,3,9
29,ARABIAN NIGHTS TRAVEL & TOURISM (FLYT.AE),Middle East,2011-05-26,2013-11-26,2022-10-01,2022-12-30,160,119696.65,2,91,1.7582417582417582,0,0.6931471805599453,0.5643143087169769,11.692715904521181,3,3,3,9
54388,AL HADAF TRAVEL AND TOURISM,Middle East,2022-02-06,2022-02-15,2022-10-01,2022-12-16,10,6879.94,16,77,0.12987012987012986,0,2.772588722239781,-2.0412203288596382,8.83636520995913,2,1,2,5
61433,AIRKINGDOM TRAVELS ,Middle East,2022-07-24,2022-09-26,2022-10-01,2022-12-30,8,647.05,2,91,0.08791208791208792,0,0.6931471805599453,-2.431417964837014,6.472423571267679,3,1,1,5
46863,RAHATK TRAVEL AND TOURISM,Middle East,2021-08-19,2021-09-05,2022-10-01,2022-12-29,20,7863.23,3,90,0.2222222222222222,0,1.0986122886681098,-1.5040773967762742,8.969952742485756,3,2,2,7
18644,TRUE VALUE TRAVEL,Middle East,2018-05-27,2018-06-10,2022-10-01,2022-12-18,23,9061.74,14,79,0.2911392405063291,0,2.6390573296152584,-1.2339536365378718,9.111816433577344,2,2,3,7
59459,"DESERT WINGS TRAVEL AND TOURS LLC, DUBAI, UAE",Middle East,2022-06-07,2022-06-15,2022-10-01,2022-12-09,20,8708.92,23,70,0.2857142857142857,0,3.1354942159291497,-1.252762968495368,9.072103066750905,2,2,3,7
59258,SILVER SKY TRAVEL AND TOURISM ,Middle East,2022-06-03,2022-06-16,2022-10-01,2022-10-01,1,68.7,92,1,1.0,0,4.5217885770490405,0.0,4.229749199228304,1,3,1,5
19345,KILLAM TURISMO,Latin America,2018-06-26,2018-08-21,2022-10-01,2022-12-22,25,39494.87,10,83,0.30120481927710846,0,2.302585092994046,-1.199964782928397,10.58392606903721,3,2,3,8
1773,ARABIAN LINK TRAVEL(DOHA),Middle East,2013-05-14,2013-05-22,2022-10-01,2022-12-21,44,36559.7,11,82,0.5365853658536586,0,2.3978952727983707,-0.6225296133459919,10.50670181984514,2,2,3,7
8400,AL ZAIN TRAVELS,Middle East,2016-07-28,2016-07-29,2022-10-01,2022-12-29,72,29233.5,3,90,0.8,0,1.0986122886681098,-0.2231435513142097,10.283070590930189,3,3,3,9
